"No","User Name","Review Count","Review Time","Rating","Review Text"
"936.","aditya 1057","8","2025-05-20","2","Lama nungguin cek innya..ampun dah..kita kecapean macet2an..payah lah.."
"937.","Michael Wijaya (Migu Del pantera)","73","2021-01-20","2","Saya agak kecewa sih terakhir nginep disini. Sebelum beli voucher ny buat nginep, sempet saya nanya² dl untuk fasilitas pool nya, dri pihak hotel bilang bs dipake, rajin dibersihkan bla bla bla, akhirnya saya mantep beli vouchernya buat nginep disini. Pas sampe di hotel, saya kaget skaligus kecewa, memang poll bs dipake saat itu, cuman berhubung pool ini berdekatan dengan area yg sedang direnovasi hotel, debu dari area renovasi bertebaran di pool, keliatan agak jorok pool Hari itu, akhirnya saya sama anak saya putusin untuk berenang di pool lantai 6 aja, dan waktu liat pool di lantai 6, saya agak ragu buat berenang, spt nya tdk terawat, banyak daon² berhamburan, dan lantai pool keliatan agak berlumut.. sayang bgt ga bs nimkatin fasilitas poll kmaren ini pas nginep disini.😔😔😔. Saya niat balik ke hotel ini karena sebelum² nya kita sekeluarga cocok deh sama nih hotel, kamar bersih, sarapan oke, service mantep, sayang bgt fasilitas pool bikin saya dan anak saya kecewa.😔 semoga kedepannya holidayinn bs lebih konsen sama fasilitas hotel nya. Terimakasih"
"938.","POLESDEH ID","205","2022-01-20","2","Kamar kurang bersih, makanannya kurang enak ditambah lg cara melayaninnya di resto tidak ramah (ngeselin bgt saat nanya ada pudding mba nya jutek abis)."
"939.","Amir Tuchadno","7","2021-01-20","2","Maaf sebelumnya . saya berkunjung tempat ini . Dalam rangka tugas dari kantor . Kami kesini untuk beristirahat . saya sebagai driver untuk mengantar bos . Yg saya tidak suka tempat penginapan driver .. aduuuhh sangat jorok apa gak pernah di perhatikan. Kebersihan nya . saya 2 malam ngnap di situ sewaktu saya pergi siang nya .sengaja saya tidak kuci pintunya . barang kali mau di bersihin ato di sapu . Eee ternyata utuh . Banyak debu Lante bekas kaki abu roko. Saya di kamar 4 bos . saya nyesal . udah bayar . Karena SDH di bokingi bos saya . begitu liat temannya idiiih udah jauh sepi .ada rasa takut juga. Aku pernah usul kebos saya . minta di kensel . saya mau cari tempat nginp sendiri . Eeh bos kelatany agak ngegas omongannya .masa udah di bokingi ga mau . Lah Aku pekirkan bayar sendiri . Udah di jatah semalam yg 300rbu .ini biarpun 200rbu .klo tempat nya begini saya sangat menyesal.tadi nya saya mau tidur di mobil aja . Jadi terpaksalah . Aku butuh air buat mandi sama buang air/ BB . Sampah bekas saya makan juga saya buang tempat sampah . jaga kebersihan. Kesehatan. Demi kian bos .reting saya . Mohon di perhatikan . Sebagai bos . Pengelola ./ Manejer . Holiday inn Bandung Pasteur . trima kasih atas perhatiannya ."
"940.","jeffri Santoso","56","2021-01-20","2","holiday inn skrg bukan kayak dl.. 1. Wifi suka putus2. 2. BF nya ga kayak dl, skrg ayam , rendang, beef baked smua nya ga ada ...pagi2 sll makan soto ayam tp ga ad ayamnya.. Cm bs makan nasi goreng tahu tempe telor ama ikan goreng kecil2.... Jd jika bcara harga sbnya sgt mahal Lbh baik cek in tanpa BF .."
"941.","fadhurrohmah siti","4","2024-01-20","2","Untuk yang tidak merokok rasanya tidak cocok dengan hotel ini, karena tidak dibedakan kamar smoking dan non smoking"
"942.","Tin Vv","3","2022-01-20","2","Untuk hotel pelayanan bagus dan menerapkan protokol kesehatan baik. Hanya saja saya kecewa, yang di sampaikan tidak sesuai fakta harga Holiday inn member lebih murah di aplikasi tapi kenyataan nya traveloja lebih murah. 🤔gak sesuai ucapan"
"943.","Ricky Dagu","58","2024-01-20","2","Hotelnya seperti tidak terurus, sangat kotor di bawah ranjang. Apalagi saya membawa anak kecil. Mohon diperbaiki. (Bangunan lama)"
"944.","Dessy Wijaya","379","2019-01-20","2","Tukang parkir tidak jujur. Tidak ada struk parkir. Awalnya diminta 12 rb. Saya bilang baru 2 jam kurang, lalu diralat jadi 9 rb. Dia bilang 2 jam lebih 1 menit."
"945.","tubagus auliaur","10","2025-01-20","2","Saat mau sarapan kondisi penuh tp petugas tidak membantu"
