"No","User Name","Review Count","Review Time","Rating","Review Text"
"62.","Marshall Ramadhan Anarkhi","8","2025-08-05","5","Pertama kali ke semarang langsung pay attention dengan hotel ini karena berada di pusat kota. Dekat dengan pusat kuliner dan alun alun kota semarang. Kamarnya bersih, breakfast yang ditawarkan juga banyak variannya. Good job👌👌👌"
"63.","fadilah rasetyani","5","2025-10-05","5","Makanannya enak, kamarnya bersih, terbaik Pelayanannya sangat ramah dengan mbak Naida"
"64.","Ikhsan SE","2","2025-12-15","5","Kamar bersih, sarapan enak, dan pelayanan sangat memuaskan"
"65.","beny sukma","20","2025-12-15","5","Hotel yg sangat nyaman, kamar bagus dan bersih, kamar mandi nyaman, dekat dengan pusat kota"
"66.","Heru Candra Irawan","6","2025-12-22","4","Cuman kurang di kamar mandinya tidak ada kunci nya selebihnya udah ok"
"67.","Adinda Rahmadina","7","2025-06-05","4","Menginap 3 malam, dapat kamar best seller di sini 😁 + Lokasinya strategis, sekitar 300m ke Simpang 5, tinggal jalan aja, bisa CFD di hari minggu. Dekat indomaret dan warung2 makan sekitaran simpang 5 + Kamar cukup luas, terang dan bersih. Peredam suara lumayan Oke, untuk kamar kami yang letaknya bersebrangan langsung dengan lift dan jadi akses utama keluar masuk, sama sekali tidak terganggu dengan suara obrolan/suara langkah dari luar kamar. + Nilai plus untuk hotel bintang 3 yang menyediakan hair dryer dan juga kulkas yang super dingin. + View oke, dari kamar 01 & 02 di tiap lantai (infonya kamar favorit di hotel ini) + Air panas oke, kamar mandi luas dan bersih. + Rekomended buat yang bussiness trip, atau family trip yang cari hotel sekedar buat istirahat/transit. Proses check in cepat, staff dan security super ramah dan informatif. Dan early check in selama kamar tersedia. kami memesan 3 kamar, check in jam 12, masih tersedia 1 kamar, karena kami request kamar selantai yang berdekatan. + Harga super affordable di lokasi yg strategis, luasan dan fasilitas kamar. Termasuk harga yang cukup murah saat long weekend. - Lobbi kedatangan ada di lantai 1 dan sempit, sedangkan resepsionis untuk check in di lantai 2. - Tempat parkir sangat terbatas, free vallet. Tapi saat long weekend yang full occupied kadang sangat lama sekali menunggu mobil yang sedang diambilkan. - Basement sangat sempit, susah untuk manuver SUV besar untuk menikung dan menanjak saat akan keluar, dan tergolong gelap di siang hari. - saat long weeekend, Sempat menunggu antrian lift sangat lama di lobbi lantai 1 karena salah satu lift under maintenance, bebarengan juga dengan antrian orang yang sedang menunggu diambilkan mobilnya. Ngumpul semua jadi 1 di lobi yang sempit. - Self service untuk membawa barang seperti koper dari lobi lantai 1 ke resepsionist di lantai 2. Tapi untungnya disiapkan troly seperti troly bandara dan juga dibantu security untuk menaikkan barang ke troly, tapi tetap saja kurang terbiasa untuk self service loading barang di hotel dari lobi lantai 1 ke respsionis lantai 2 untuk check in. (Tapi masih sangat oke sih buat kami 😁) - Rasa dan variasi makanan kurang, tapi selalu ganti menu tiap harinya jadi kami tidak bosan. (Tapi mengingat rate permalamnya yang affordable, jadi ga terlalu jadi masalah buat kami yang pemakan segala, pokoknya bergizi 😁). - Hari pertama sarapan, pas banget hari minggu long weekend, dan sepertinya full occupied, jam 8 kurang sudah banyak makanan dan juga alat makan yang habis, dan agak lama menunggu untuk direfill, dan alat makannya ada beberapa yang kurang bersih. Mungkin perlu banget ditingkatkan lagi untuk service kecepatan refill dan juga alat makan di restaurantnya saat ramai/full occupied. Tapi overall masih rekomended untuk dijadikan hotel transit dengan budget yang cukup murah."
"68.","AKUN 3","1","2025-12-05","5","Sangat rekomended..kamar bersih.staff ramah.makanan enak nextime klu ke Semarang pasti kesini lagi"
"69.","Febry Chrisdanty","11","2025-12-05","5","Sangat menyenangkan, kamarnya bagus nyaman banget.. suka sekali"
"70.","silfina wasril","1","2025-08-05","5","Lokasi strategis dari jalan besar, ruangan yang bersih dan nyaman, dan sarapannya enak. Tetapi area parkir mobil yang kurang luas sulit untuk parkir mobil ketika sedang ramai"
"71.","Bagus Rahman","11","2025-08-05","3","Kamarnya panas yang 701, sudah datang petugasnya membersihkan filter tapi masih panas, alesannya karena panas pada kacanya. Sarapan, kecap di buburnya banyak semut terkesan jorok banget"
