User Name,Review Count,Rating,Review Text
ahmad Khojan,2,5,kamar nya bersih dan nyaman view nya juga bagus request yang ada pemandangan lrt pelayanan staf juga baik terutama kak andin di resepsionist
Muhammad Setiaji,18,5,persahabatan persahabatan
cecilia ceci,10,5,proses cek masuk cek keluar fast respon kamar bersih penerangan kamar bagus tidak remang banget pelayanan helpfull kamar mandi bersih wifi koneksi bagus tv udah android jadi bisa muter youtube netflix
Zalfa Zahiyah Putri,3,5,suka banget sama pengalaman nginep di sini dari check masuk sampe check keluar semua lancar kamar rapi dan bersih suasana tenang yang bikin makin oke tuh mba andini orangnya ramah dan helpful banget jadi tidak bingung kalau ada perlu pokoknya recommended
afnan hanif,2,5,hotel ini memenuhi ekspektasi saya kebersihan kamar sangat terjaga dan kamar mandinya pun terlihat baru dan bersih cocok untuk liburan untuk keluarga maupun istirahat bagi yang pulang kerja makasii harper
Carisa Singgih,6,5,kamar baik kebersihan lumayan cuman anduk nya saja kotor dan sarung bantal berwarna agak kuning pelayanan kak ezii oke banget
Adam Nugraha,1,5,pengalaman yang sangat menyenangkan bisa menginap di hotel harper mt haryono selain staf nya ramah hotel nya bersih mudah di akses transportasi jakarta dan pasilitas kamar berpungsi dengan baik thnks you
Putri Andini,1,5,hotelnya nyaman kamarnya bersih receptiont mba andin juga ramah pokonya top jadi pengen balik lagi kesini
Putri Nabila,17,5,terima kasih kak ezi dan tim kamarnya aman dan makannya enak di resto bisa juga early cek masuk dan bisa direspon cepat saat dibutuhkan
Pes Gacor abiss,1,5,sangat puas dengan kebersihan hotel ini terutama kamarnya rapih bathroom nya bersih dan setiap ketemu staff hk selalu di sapa very good jadi pengen balik lagi
Abghi D'asura,4,5,kamarnya enak nyaman pw untuk breakfast and lunch nya juga enakk banyak varian jadi tidak bikin bosen saat untuk makan andin
Perdana Setianda Putra,173,5,salah satu hotel terbaik di timur jakarta 9 10 karena yang sempurna hanya milik tuhan makanannya cihuy kebersihan ruangannya oke lokasinya mudah di akses bisa pakai lrt transjakarta dan kendaraan lainnya
Feri Sardani,2,5,berkegiatan di workshop jago bicara coach riko abu al fatih di harper mt haryono pelayanan bagus room meeting dan fasilitas nya bagus dan makan siang yang disediakan juga enak enak sherly
daryanti nalapati,1,5,selama di harper nyaman makanan oke pelayanan jg sudah optimal trmksh smga bisa bertemeu lain waktu thnks jg buat mb andin ramah supel keren
Nicholas Eugene Tanuwijaya,4,5,suasana yang bikin kangen setiap kali tugas di jakarta nginepnya di harper cawang makanannya enak pagi² sudah lengkap semua untuk sarapannya lorong ke kamar pencahayaannya terang di kamar pun terang pencahayaannya selain itu kamar bersih air minum selalu tersedia refilnya semoga hotel harper tetap berjaya dan semakin maju kedepannya
secret,1,5,pelayanan yang sangat bagus dan kenyamanan sangat puas hotelnya yang bagus dan di pinggir jalan mudah buat akses kemana2 makanan nya sanagat enk dan nikamat terimksih untuk mba andini untuk pelayanan nya
Sugeng Riyanto,2,5,kamar hotelnya nyaman selama menginap tidak ada kendala untuk makanannya enak2 dan banyak menunya resepsionis bernama andin melayani dengan penuh ramah
Teguh Waskito,2,5,saya baru saja menginap di hotel mt haryono cawang dan saya sangat puas dengan pengalaman saya hotel ini memiliki lokasi yang strategis dekat dengan pusat kota dan berbagai fasilitas umum kelebihan kamar yang bersih dan nyaman fasilitas yang lengkap termasuk kolam renang dan pusat kebugaran pelayanan yang ramah dan profesional sarapan yang lezat dan variatif kekurangan tidak ada rekomendasi saya sangat merekomendasikan hotel mt haryono untuk siapa saja yang mencari akomodasi yang nyaman dan berkualitas di jakarta harga yang ditawarkan juga sangat kompetitif kesimpulan saya sangat puas dengan pengalaman saya di hotel mt haryono dan saya tidak ragu untuk kembali lagi di masa depan jika anda mencari hotel yang nyaman dan berkualitas maka hotel mt haryono adalah pilihan yang tepat
isabella zizah,2,5,hotelnya nyaman kamar bersih dan modern staf ramah banget lokasi strategis dekat tol fasilitas kolam renangnya juga oke recommended buat staycation maupun urusan kerja
Nur Rochmad,8,5,pelayanan bagu tim yang masuk charge membantu dan makanannya enak enak lokasi hotel stategis mudah transum service excelent mr ezii
Azikia Putri,5,5,pelayanannya mba nurul sangat baik ramah dan penampilan selalu rapih menu sarapan bervariasi dan enak enak recomended banget buat yang mau bermalam disini
Lena Fitriyani Martal,6,5,pelayanan ramah kamar nyaman dan luas waktu menginap ada kendala flush susah berfungsi namun cepat ditangani dibantu oleh mas ezii
Muhamad hari,1,5,pengalaman menginap yang luar biasa kamar bersih nyaman dan staf sangat ramah lokasinya strategis dekat dengan tempat wisata dan kuliner sarapannya juga enak dan bervariasi sangat direkomendasikan
BIDAN INTAN LAILY RAHMAWATI,3,5,terima kasih atas pelayanan yang luar biasa dan menyenangkan kamar yang nyaman dan lokasi yang stategis cc mbk andin
Deddy rusmana Rusmana,1,5,pengalaman yang menyenangkan menginap di harper kamarnya bersih dan rapi juga lengkap kamar mandi juga bersih terima kasih mas yusuf
Aufan Asidqi,51,3,highlight of this review is going to be about kecoa kaget banget masuk2 disambut oleh 2 kecoa di sekitaran kasur sebenernya kecil saja sih dan langsung dipukul pakai sendal dan yaudah gitu tapi tidak lama kok muncul lagi 1 keknya nyariin temen nya kok tidak balik2 akhirnya pukul lagi lah karna udah malem banget dan terlalu lelah buat minta pindah kamar dan cuma semalem juga besokan nya saat check keluar lgsg lapor ke staff nya semoga next lebih diperhatiin saat ngebersihin kamar
AFNAN HK,3,5,kamar bersih dan nyaman kamar mandinya juga super bersih dan wangi cleanliness nya oke banget staf housekeeping ramah dan cepat tanggap bikin makin betah nginep di sini makasi harperr
Ahmad Atsari Sujud (Sujud),4,5,kamarnya sangat nyaman dan sarapan yang bervarian lokasi cukup strategis pelayanan karyawan ramah ramah cekout dibantu mas ezii
dyah juwita anindyajati,4,5,makanan di resto cukup banyak pilihannya rasa nya enak enak dan pelayanan nya baik dan gercep sekali terimakasih untuk kak nurul sudah membantu saat di resto
Nurlianah Rahayu,3,5,hotelnya sangat nyaman makanannya enakk lokasinya strategis stafnya sangat membantu dengan baik fasilitas meeting roomnya jg oke staf atas nama faiza sangat ramah dan cekatan
Sacharum Noor,2,5,menginap di harper cawang memberikan kesan dan pengalaman yang menyenangkan stafnya ramah dan sanhat membantu makanannya enak2 fasilitasnya oke bangett selama mrnginap saya juga dibantu oleh staff ezii terima kasih banyak
Ashila Ariqah,1,5,kamar nya luas pelayanannya bagus bisa pinjam setrika apalagi atas nama mbak andien bagian resepsionis untuk makanan banyak pilihan insyaallah next akan nginap di sini lagi
raditya adiputra,149,5,kamar bersih dan cukup luas di harganya pelayanan staf sangat baik dan ramah lokasi dekat dengan jembatan menuju lrt sehingga sangat memudahkan akses menuju lrt ataupun busway
KOMOOtv,3,5,selama menginap disini aman tidak ada kendala sempat ada kendala namun langsung pindah ke kamar lain good job harper makanan nya juga enak pelayanan kak andin resepsionis ramah terimakasih harper
Aditya Himawan,1,5,makan siang meeting kami enak desert jg enak banget ada salad sayur dan buah juga yang bikin lebih bervariasi makanannya thanks mas irwan atas komunikasi feedbacknya
Fatkhan Nour,2,5,room yang nyaman breakfast nya sangat baik pelayanan yang ramah sherly terima kasih
mhd rizza,1,5,kamarnya nyaman dan bersih pelayanan baik lokasi dekat stasiun lrt cekout dibantu mas ezii reception
Arinda Nur Ariva,17,5,kamar bersih dan nyaman pelayanan oke kami dibantu oleh mbak andin lokasi strategis akses langsung ke stasiun lrt makanan enak dan variatif
akbar saktio,6,5,makanannya enak enak semua fresh dan saat di lidah untuk service memuaskan baik kamar juga bersih nyaman dingin lokasi strategis tidak nyesel menginap disini
Dea Pratiwi,3,5,makanan bervariasi rasa oke dan enak2 banyak pilihan menu untuk anak2 juga thanks untuk mas ezii ts pelayanan an nya at all pelayanan nya oke banget
Kiki Nurhasanah,1,5,roomnya nyaman sekali tempatnya strategis dekat dengan stasiun lrt untuk staffnya juga ramah semua terimakasih untuk harper sherly
